,tweet_source,tweet_text,tweet_date,tweet_vader_score,tweet_pos_score,tweet_neu_score,tweet_neg_score
0,Fox News,BREAKING: Federal appeals court rules against Trump administration on DACA https://t.co/KHnrNvEKAM,Thu Nov 08 19:18:44 +0000 2018,0.0,0.0,1.0,0.0
1,Fox News,"Breaking News: Grand jury indicts captain of Missouri duck boat that sank in severe weather, killing 17 people https://t.co/ffOOgzRwdo",Thu Nov 08 17:02:25 +0000 2018,-0.6124,0.115,0.615,0.269
2,Fox News,"JUST IN: Police identify gunman who opened fire inside California bar, killing 12 https://t.co/PvITYr54AX",Thu Nov 08 15:14:45 +0000 2018,-0.7783,0.0,0.638,0.362
3,Fox News,JUST IN: Supreme Court Justice Ruth Bader Ginsburg fractures 3 ribs in fall https://t.co/9UM9hKTz4m,Thu Nov 08 14:22:51 +0000 2018,0.7906,0.389,0.611,0.0
4,Fox News,"Sgt. Ron Helus was fatally shot when he responded to the mass shooting on Nov. 7 at a bar in Thousand Oaks, Califor… https://t.co/vOH3OWPN5S",Thu Nov 08 13:43:25 +0000 2018,-0.6369,0.0,0.833,0.167
5,Fox News,Tom Homan: “It’s a tragedy each and every time.” https://t.co/dMV68Hfdz0 https://t.co/hrq51VJg7x,Thu Nov 08 13:35:03 +0000 2018,-0.6597,0.0,0.672,0.328
6,Fox News,"People walk away from the scene in Thousand Oaks, Calif. where a gunman opened fire Wednesday.… https://t.co/O3Oo2iLL8O",Thu Nov 08 13:22:27 +0000 2018,-0.34,0.0,0.862,0.138
7,Fox News,Teylor Whittler describes what she witnessed at California bar shooting https://t.co/dMV68Hfdz0 https://t.co/YznTZgQoYY,Thu Nov 08 12:56:20 +0000 2018,0.0,0.0,1.0,0.0
8,Fox News,"An FBI agent talks to a potential witness as they stand near the scene in Thousand Oaks, Calif. where a gunman open… https://t.co/7QOmXNTYM0",Thu Nov 08 12:37:05 +0000 2018,0.0,0.0,1.0,0.0
9,Fox News,Ventura County Fire Department Captain Stan Ziegler: “Hundreds of first responders responded initially to the scene… https://t.co/o4gArhmy4e,Thu Nov 08 12:25:14 +0000 2018,-0.34,0.0,0.87,0.13
10,Fox News,"People comfort each other as they stand near the scene in Thousand Oaks, Calif. where a gunman opened fire during a… https://t.co/wPI4XSpirC",Thu Nov 08 12:06:14 +0000 2018,0.0258,0.105,0.795,0.1
11,Fox News,"California bar shooting leaves 12 dead, including sheriff's sergeant, police say https://t.co/dMV68Hfdz0 https://t.co/WvjarPpwPV",Thu Nov 08 11:54:22 +0000 2018,-0.6486,0.0,0.736,0.264
12,Fox News,"California bar shooting leaves 12 dead, including sheriff's sergeant, police say https://t.co/GqI77wMuYZ",Thu Nov 08 11:38:17 +0000 2018,-0.6486,0.0,0.719,0.281
13,Fox News,"Sheriff's deputies speak to potential witnesses as they stand near the scene in Thousand Oaks, Calif., where a gunm… https://t.co/jPE8k9oQHr",Thu Nov 08 11:32:26 +0000 2018,0.0,0.0,1.0,0.0
14,Fox News,13 dead in country music bar including gunman https://t.co/PvITYr54AX https://t.co/UURBIatqte,Thu Nov 08 11:26:46 +0000 2018,-0.6486,0.0,0.677,0.323
15,Fox News,"12 dead in shooting at Thousand Oaks nightclub, police say https://t.co/PvITYr54AX https://t.co/o8Nf8WuJcZ",Thu Nov 08 11:18:08 +0000 2018,-0.6486,0.0,0.719,0.281
16,Fox News,"Breaking News: At least 12 dead in shooting at Thousand Oaks nightclub, police say https://t.co/u6sVxdzHq5",Thu Nov 08 11:13:32 +0000 2018,-0.6486,0.0,0.765,0.235
17,Fox News,.@CarleyShimkus is live with the ‘Fox News Update’ on Facebook Watch: https://t.co/hNrB8xzepH https://t.co/cQ9uxkjUIK,Thu Nov 08 11:12:14 +0000 2018,0.0,0.0,1.0,0.0
18,Fox News,"Authorities deliver an update on the shooting in Thousand Oaks, California. (Courtesy: KABC) https://t.co/BtGxxIfNx5",Thu Nov 08 10:53:33 +0000 2018,0.0,0.0,1.0,0.0
19,Fox News,Pastor Dimas Salaberrios on California shooting: “My immediate thoughts go out to the families. Because what’s happ… https://t.co/iowf5VOL2l,Thu Nov 08 10:36:12 +0000 2018,0.0,0.0,1.0,0.0
20,CNN,Two people were killed and two others injured when a small plane crashed into a home on Sunday outside of Los Angel… https://t.co/rSXFDNAWjd,Mon Feb 04 01:33:24 +0000 2019,-0.802,0.0,0.725,0.275
21,CNN,"Instead of sugary treats, fatty chips, or high-calorie sodas, a vending machine at this elementary school is filled… https://t.co/OJdVjWBIeI",Mon Feb 04 01:30:03 +0000 2019,0.0,0.0,1.0,0.0
22,CNN,An 11-year-old girl began asking nursing home residents what three things in the world they wish they had right now… https://t.co/BsSv6lrZDA,Mon Feb 04 01:15:07 +0000 2019,0.4019,0.119,0.881,0.0
23,CNN,The US government received its worst score since 2011 in a global survey measuring government corruption… https://t.co/0Qx0Zx8Cc0,Mon Feb 04 01:00:11 +0000 2019,-0.6249,0.0,0.785,0.215
24,CNN,Trump says he'd have a hard time letting his son Barron play football https://t.co/nmtcSbryCN https://t.co/HiWo1psXbn,Mon Feb 04 00:45:05 +0000 2019,0.25,0.152,0.759,0.089
25,CNN,Trump says use of military force in Venezuela is still on the table https://t.co/scIJiJ0JBE https://t.co/vhiOENuLmQ,Mon Feb 04 00:30:09 +0000 2019,0.0,0.0,1.0,0.0
26,CNN,Here's who has called for Ralph Northam's resignation https://t.co/EilZxUubWJ https://t.co/Rt00OGlIEV,Mon Feb 04 00:15:06 +0000 2019,-0.296,0.0,0.804,0.196
27,CNN,"A massive hole two-thirds the size of Manhattan has been discovered growing in an Antarctic glacier, signaling rapi… https://t.co/cHWFSwg9Pa",Mon Feb 04 00:00:13 +0000 2019,0.1779,0.091,0.909,0.0
28,CNN,A nine-year conservation project on King Tutankhamun's tomb has finished https://t.co/nHNalg7IJM https://t.co/im0tZYJecK,Sun Feb 03 23:45:06 +0000 2019,0.0,0.0,1.0,0.0
29,CNN,The most shocking part of the racist yearbook photo is what critics leave out | Analysis by John Blake… https://t.co/tWDxDvfoGY,Sun Feb 03 23:30:12 +0000 2019,-0.8553,0.0,0.591,0.409
30,CNN,This CEO wants to make grocery shopping effortless https://t.co/Ng5MqYFu0V https://t.co/8j45AjjnU0,Sun Feb 03 23:15:00 +0000 2019,0.0,0.0,1.0,0.0
31,CNN,What a Dixie Ribs joint owner taught me about forgiveness and reconciliation | By Johnita P. Due for @CNNOpinion… https://t.co/buWPVQKB3m,Sun Feb 03 23:00:19 +0000 2019,0.2732,0.11,0.89,0.0
32,CNN,"ICE arrests rapper 21 Savage, says he's illegally present in US https://t.co/ummiB2UzXm https://t.co/9Iqzq6jagk",Sun Feb 03 22:44:13 +0000 2019,-0.7096,0.0,0.651,0.349
33,CNN,"Axios: Since midterms, Trump has spent nearly 60% of his scheduled time in unstructured 'executive time'… https://t.co/ymWgzwopYH",Sun Feb 03 22:30:14 +0000 2019,0.0,0.0,1.0,0.0
34,CNN,"These brands want to make your work clothes comfortable, functional and high-tech https://t.co/U6ZMK476BN https://t.co/e9IqTooxNh",Sun Feb 03 22:15:00 +0000 2019,0.5574,0.277,0.723,0.0
35,CNN,Gov. Cuomo calls on DOJ to investigate power outage at Brooklyn detention center https://t.co/58xkvkhDim https://t.co/DT7awh0Qcb,Sun Feb 03 22:00:05 +0000 2019,-0.3612,0.0,0.848,0.152
36,CNN,Sen. Richard Shelby: Bipartisan committee must listen to border security experts https://t.co/wKrVZKNIJV https://t.co/EjRzHSAW0o,Sun Feb 03 21:45:07 +0000 2019,0.34,0.167,0.833,0.0
37,CNN,"Aid, assets top opposition priorities as Venezuelan power struggle trudges on https://t.co/dhRC1o4UNY https://t.co/QWPZVGWxb7",Sun Feb 03 21:30:04 +0000 2019,0.0516,0.222,0.633,0.146
38,CNN,Pepsi is one of the biggest sponsors of Super Bowl 53 in Atlanta -- the home of Coca-Cola https://t.co/nvTmRMqYgD https://t.co/THEVsQ15gc,Sun Feb 03 21:15:00 +0000 2019,0.5994,0.17,0.83,0.0
39,CNN,"Pentagon will deploy approximately 3,750 additional US forces to provide more support at southwest border… https://t.co/NEjoEnn8ap",Sun Feb 03 21:06:44 +0000 2019,0.4576,0.166,0.834,0.0
40,BBC News (World),What's happening this week? https://t.co/Vw0u1tcLNQ,Mon Feb 04 01:14:30 +0000 2019,0.0,0.0,1.0,0.0
41,BBC News (World),Brazil dam collapse: The crucial questions https://t.co/hj1wUnD8uO,Mon Feb 04 00:01:15 +0000 2019,-0.4939,0.0,0.652,0.348
42,BBC News (World),21 savage: Rapper 'arrested by US immigration force' https://t.co/Cd3UEwIdoY,Sun Feb 03 21:34:17 +0000 2019,-0.7269,0.0,0.534,0.466
